Date,Open,High,Low,Close,Volume,OpenInt
2005-04-12,5.4803,5.5258,5.3353,5.4116,31046,0
2005-04-13,5.4419,5.4419,5.3124,5.3582,7632,0
2005-04-14,5.381,5.381,5.3201,5.3201,5379,0
2005-04-15,5.3353,5.4267,5.3353,5.4116,14571,0
2005-04-18,5.3353,5.3582,5.3353,5.3582,11623,0
2005-04-19,5.3582,5.5258,5.3582,5.4345,21335,0
2005-04-20,5.4648,5.4648,5.3048,5.3582,13009,0
2005-04-21,5.3124,5.3963,5.259,5.3582,19603,0
2005-04-22,5.3884,5.4496,5.3353,5.3884,16305,0
2005-04-25,5.3353,5.4496,5.3353,5.4039,12491,0
2005-04-26,5.4345,5.4345,5.4345,5.4345,1907,0
2005-04-27,5.4039,5.4419,5.4039,5.4192,4857,0
2005-04-28,5.4192,5.5182,5.3884,5.5107,44751,0
2005-04-29,5.5334,5.5334,5.4803,5.4803,4338,0
2005-05-02,5.4803,5.5641,5.4803,5.5334,12141,0
2005-05-03,5.4803,5.5486,5.3884,5.4803,38503,0
2005-05-04,5.5182,5.5182,5.5031,5.5031,5028,0
2005-05-05,5.5182,5.5258,5.3884,5.4496,15438,0
2005-05-06,5.4725,5.4725,5.221,5.3353,51863,0
2005-05-09,5.3048,5.4725,5.3048,5.4192,8324,0
2005-05-10,5.4192,5.4267,5.2743,5.3582,18906,0
2005-05-11,5.259,5.3124,5.2135,5.3124,19603,0
2005-05-12,5.2515,5.4192,5.2362,5.4192,98869,0
2005-05-13,5.2743,5.4116,5.259,5.259,3293,0
2005-05-16,5.3353,5.4116,5.3353,5.4039,9540,0
2005-05-17,5.4116,5.4116,5.2438,5.3353,20472,0
2005-05-18,5.3353,5.3963,5.3048,5.3963,11623,0
2005-05-19,5.4039,5.4039,5.3884,5.3963,11796,0
2005-05-20,5.3048,5.4725,5.2515,5.4039,25323,0
2005-05-23,5.3884,5.3884,5.259,5.3582,28099,0
2005-05-24,5.2665,5.3353,5.2515,5.3048,48743,0
2005-05-25,5.2743,5.3277,5.2743,5.2743,30006,0
2005-05-26,5.2743,5.2972,5.2665,5.2896,20119,0
2005-05-27,5.2743,5.3429,5.2438,5.3429,69377,0
2005-05-31,5.3582,5.3884,5.2896,5.3884,27926,0
2005-06-01,5.3884,5.4419,5.381,5.4419,21161,0
2005-06-02,5.4419,5.4419,5.3124,5.3963,31046,0
2005-06-03,5.3582,5.4496,5.3582,5.4419,8498,0
2005-06-06,5.4267,5.4267,5.3353,5.3658,13357,0
2005-06-07,5.3734,5.4419,5.3353,5.3582,31914,0
2005-06-08,5.4419,5.4803,5.3963,5.3963,16999,0
2005-06-09,5.3884,5.4572,5.3048,5.4192,49781,0
2005-06-10,5.3582,5.3582,5.3124,5.3582,21161,0
2005-06-13,5.3048,5.3582,5.2665,5.3582,16823,0
2005-06-14,5.3048,5.3884,5.282,5.3582,24802,0
2005-06-15,5.3582,5.381,5.2896,5.3353,11796,0
2005-06-16,5.3124,5.3124,5.2438,5.2896,19949,0
2005-06-17,5.3048,5.3277,5.2515,5.3048,19603,0
2005-06-20,5.2743,5.3582,5.2743,5.3582,38855,0
